training_size,accuracy,elapsed_time
100,0.628,0.07511401176452637
200,0.764,0.1507124900817871
300,0.794,0.24913811683654785
400,0.822,0.3055992126464844
500,0.831,0.44760775566101074
600,0.839,0.5054807662963867
700,0.854,0.566378116607666
800,0.874,0.6281383037567139
900,0.872,0.6917567253112793
1000,0.876,0.9346323013305664
1100,0.886,1.0012376308441162
1200,0.889,1.0578770637512207
1300,0.89,1.1161644458770752
1400,0.893,1.1842873096466064
1500,0.897,1.247133493423462
1600,0.895,1.3133366107940674
1700,0.895,1.369217872619629
1800,0.901,1.4195632934570312
1900,0.9,1.4856305122375488
2000,0.904,1.917189359664917
2100,0.903,1.9742279052734375
2200,0.904,2.0320277214050293
2300,0.908,2.1143393516540527
2400,0.913,2.161900520324707
2500,0.917,2.226182222366333
2600,0.918,2.2804203033447266
2700,0.919,2.3310704231262207
2800,0.922,2.3934898376464844
2900,0.923,2.4614369869232178
3000,0.925,2.530305862426758
3100,0.929,2.5847737789154053
3200,0.929,2.646580696105957
3300,0.929,2.8650591373443604
3400,0.931,2.7476961612701416
3500,0.937,2.8477468490600586
3600,0.937,2.848400592803955
3700,0.934,2.933180809020996
3800,0.934,2.9543092250823975
3900,0.934,3.7206554412841797
4000,0.935,3.7773942947387695
4100,0.935,3.839691162109375
4200,0.936,3.8923463821411133
4300,0.936,3.952707529067993
4400,0.936,4.0180823802948
4500,0.936,4.063614845275879
4600,0.937,4.129688024520874
4700,0.939,4.186010122299194
4800,0.939,4.24731183052063
4900,0.937,4.30264139175415
5000,0.937,4.354690074920654
5100,0.937,4.4116599559783936
5200,0.938,4.472275018692017
5300,0.939,4.530023813247681
5400,0.938,4.5857744216918945
5500,0.937,4.6491405963897705
5600,0.94,4.710538387298584
5700,0.94,4.769496440887451
5800,0.941,4.822654724121094
5900,0.942,4.8884663581848145
6000,0.942,4.947599649429321
6100,0.943,5.010551929473877
6200,0.943,5.069012641906738
6300,0.943,5.1277174949646
6400,0.943,5.174625873565674
6500,0.943,5.244967222213745
6600,0.944,5.293572425842285
6700,0.943,5.357378959655762
6800,0.943,5.420527219772339
6900,0.942,5.543565988540649
7000,0.942,5.618626356124878
7100,0.942,5.658127307891846
7200,0.941,5.734396934509277
7300,0.941,5.7836925983428955
7400,0.941,5.841789722442627
7500,0.941,5.887975454330444
7600,0.941,5.969498634338379
7700,0.94,7.509507656097412
7800,0.939,7.532414674758911
7900,0.939,7.558095693588257
8000,0.939,7.64300012588501
8100,0.94,7.707813739776611
8200,0.942,7.757275581359863
8300,0.942,7.801702260971069
8400,0.943,7.860460996627808
8500,0.942,7.919217586517334
8600,0.94,7.978732347488403
8700,0.94,8.046091079711914
8800,0.94,8.104846239089966
8900,0.94,8.16151475906372
9000,0.94,8.213041305541992
9100,0.94,8.282625913619995
9200,0.941,8.32318925857544
9300,0.941,8.384487628936768
9400,0.942,8.447494506835938
9500,0.943,8.517167329788208
9600,0.944,8.576097249984741
9700,0.945,8.618993282318115
9800,0.947,8.685946226119995
9900,0.948,8.852578401565552
10000,0.948,8.847306251525879
10100,0.949,8.911996126174927
10200,0.949,8.957154750823975
10300,0.95,9.000224590301514
10400,0.95,9.106056690216064
10500,0.951,9.159913539886475
10600,0.951,9.17689299583435
10700,0.951,9.24087142944336
10800,0.953,9.293338060379028
10900,0.953,9.362370729446411
11000,0.953,9.436686038970947
11100,0.953,9.528939962387085
11200,0.953,9.571140050888062
11300,0.953,9.57045841217041
11400,0.953,9.61122465133667
11500,0.951,9.65293836593628
11600,0.951,9.713878393173218
11700,0.951,9.772119998931885
11800,0.951,9.833742141723633
11900,0.951,9.896841764450073
12000,0.953,9.935330629348755
12100,0.953,10.011906623840332
12200,0.952,10.06412124633789
12300,0.953,10.130674362182617
12400,0.954,10.184438705444336
12500,0.954,10.239580869674683
12600,0.954,10.328163862228394
12700,0.953,10.390626907348633
12800,0.953,10.41869831085205
12900,0.954,10.487547397613525
13000,0.954,10.5464928150177
13100,0.952,10.608405351638794
13200,0.952,10.691550731658936
13300,0.952,10.731175184249878
13400,0.952,10.790597438812256
13500,0.952,10.832429647445679
13600,0.953,10.907477378845215
13700,0.953,10.980341911315918
13800,0.953,11.142072916030884
13900,0.953,11.198029279708862
14000,0.953,11.246263265609741
14100,0.953,11.276588678359985
14200,0.953,11.337104082107544
14300,0.953,11.405918598175049
14400,0.953,11.37962532043457
14500,0.953,11.433178663253784
14600,0.954,11.4902982711792
14700,0.953,11.535988569259644
14800,0.953,11.615355730056763
14900,0.953,11.660339117050171
15000,0.953,11.720123529434204
15100,0.953,11.792849779129028
15200,0.953,11.886898279190063
15300,0.952,11.923423528671265
15400,0.952,14.836203336715698
15500,0.952,14.891315221786499
15600,0.952,14.941466808319092
15700,0.952,14.990443229675293
15800,0.952,15.077776193618774
15900,0.952,15.1078782081604
16000,0.952,15.199165105819702
16100,0.952,15.239035606384277
16200,0.951,15.295026302337646
16300,0.951,15.362717866897583
16400,0.951,15.416379690170288
16500,0.951,15.4800865650177
16600,0.95,15.536399364471436
16700,0.95,15.634092569351196
16800,0.95,15.643738508224487
16900,0.95,15.694669723510742
17000,0.95,15.795895099639893
17100,0.95,15.939664363861084
17200,0.949,15.990902423858643
17300,0.95,16.081761598587036
17400,0.951,16.12262272834778
17500,0.951,16.19391179084778
17600,0.953,16.287806749343872
17700,0.953,16.327059745788574
17800,0.953,16.372246503829956
17900,0.954,16.30689764022827
18000,0.954,16.352904319763184
18100,0.954,16.429042100906372
18200,0.954,16.506072282791138
18300,0.954,16.64443302154541
18400,0.954,16.73350977897644
18500,0.954,16.798933267593384
18600,0.955,16.85291624069214
18700,0.956,16.901064157485962
18800,0.956,16.981903076171875
18900,0.956,17.02604341506958
19000,0.956,17.13202714920044
19100,0.955,17.18115258216858
19200,0.955,17.22359275817871
19300,0.955,17.2981116771698
19400,0.955,17.333135843276978
19500,0.955,17.434107065200806
19600,0.954,17.460696935653687
19700,0.953,17.477993488311768
19800,0.953,17.541141748428345
19900,0.953,17.61239194869995
20000,0.953,17.69087243080139
